t,x_true,y_obs,pf_mean
416,1.18921,1.56929,0.493426
417,1.46474,1.49206,0.811215
418,1.10505,2.46113,1.32687
419,0.719203,-0.140137,0.725456
420,0.642739,1.01026,0.777347
421,0.773409,0.271306,0.550613
422,0.842765,-0.415967,0.175886
423,0.896843,-0.212803,0.0356699
424,0.874251,-0.749706,-0.245164
425,0.487642,0.736841,0.112468
426,0.662558,2.60643,0.981451
427,0.994153,0.517151,0.75641
428,0.735951,1.20551,0.865663
429,0.550229,0.214249,0.584063
430,0.198023,-0.305123,0.241126
431,0.349527,1.03295,0.494283
432,0.744202,-0.816688,0.0180404
433,0.383634,0.145355,0.0615449
434,0.296409,0.247032,0.123387
435,0.460889,1.3043,0.524649
436,0.434233,2.47598,1.16405
437,1.49057,0.0188816,0.674633
438,0.491413,1.23682,0.821721
439,0.114454,-1.08365,0.107301
440,0.722324,0.164215,0.119778
441,1.07627,2.93695,1.07253
442,0.56457,2.28642,1.40239
443,0.251457,-0.266455,0.739475
444,0.1884,-0.200174,0.357829
445,-0.00493257,-0.0824664,0.18159
446,0.285515,-0.525975,-0.0779355
447,0.620624,0.412993,0.0913576
448,1.01199,1.81855,0.682213
449,0.818208,-0.596744,0.190493
450,0.455081,-0.832867,-0.173948
451,0.890907,1.18883,0.30845
452,0.646875,-0.803837,-0.100068
453,0.32796,1.15729,0.336705
454,0.720023,1.75826,0.810581
455,0.430105,0.136566,0.517053
456,0.766148,0.396579,0.443447
457,0.979122,-0.202821,0.194729
458,0.282118,0.969981,0.449904
459,0.0654083,1.14178,0.666042
460,-0.276258,0.855777,0.687496
461,-0.351238,0.783242,0.677191
462,0.574925,1.38391,0.883573
463,0.54522,0.243965,0.604467
464,1.15644,2.43854,1.20773
465,1.19926,0.363311,0.828708
466,1.47847,0.90832,0.80086
467,1.99852,1.82993,1.10519
468,1.65068,1.73174,1.25365
469,1.61679,1.05491,1.10652
470,2.55053,2.1915,1.40611
471,2.15926,2.7361,1.7687
472,1.30989,0.90567,1.35782
473,1.29273,2.56637,1.69771
474,0.730696,0.837856,1.28831
475,0.793563,-0.144614,0.698182
476,0.156833,0.0425447,0.424027
477,0.0668857,-1.54047,-0.295204
478,0.0399112,0.0860251,-0.143224
479,-0.665958,-3.28975,-1.23514
480,-0.592201,-0.390301,-0.864324
481,-0.542132,-1.81017,-1.13689
482,-0.159679,0.902556,-0.357969
483,-0.573741,1.45955,0.289883
484,-0.198913,-1.44053,-0.332816
485,-0.0168218,0.614235,0.02089
