t,x_true,y_obs,pf_mean
241,0.253996,2.76954,0.860361
242,0.0191366,1.64566,1.07266
243,0.274141,1.91225,1.27845
244,0.42948,-0.14441,0.699348
245,-0.276696,-1.73012,-0.161744
246,0.732385,1.06088,0.252436
247,1.11006,1.36806,0.619045
248,0.688751,0.851513,0.656424
249,0.612857,0.00336184,0.387075
250,0.582823,0.111715,0.279595
251,0.840599,1.19249,0.566284
252,1.60739,0.0736383,0.359232
253,2.07925,1.74383,0.816983
254,2.19703,3.54851,1.72376
255,1.68747,1.46556,1.52633
256,1.84387,1.54556,1.43163
257,0.880689,2.55221,1.73021
258,0.699592,1.20558,1.43214
259,0.207946,-1.16175,0.436589
260,-0.485191,-0.821814,-0.0325778
261,-0.482552,-0.0990079,-0.0624015
262,0.00259481,3.10746,1.07253
263,1.29912,1.21627,1.05157
264,1.92407,2.52386,1.49106
265,1.09305,2.33938,1.68195
266,1.3584,3.01539,2.04413
267,0.529768,-2.08007,0.476246
268,0.423128,0.223188,0.35621
269,1.15194,0.466205,0.360401
270,0.37421,1.42122,0.706486
271,0.345232,-1.27323,-0.0135598
272,-0.0727679,-0.223188,-0.0821626
273,-0.361143,-1.24814,-0.479081
274,0.769847,-0.526655,-0.47096
275,-0.125501,1.36919,0.199104
276,-0.346807,-0.172899,0.0486181
277,-0.570351,-1.80769,-0.590756
278,-0.417847,-1.29895,-0.799338
279,0.609772,0.677526,-0.241913
280,0.622811,1.05068,0.21359
281,0.194188,0.794182,0.393969
282,-0.0544495,-0.157294,0.178004
283,0.28523,0.658626,0.326874
284,0.355851,0.536497,0.375246
285,0.739859,-0.250168,0.139061
286,-0.140862,-0.475369,-0.0807147
287,-0.428945,0.794245,0.228762
288,-0.441811,0.348089,0.254864
289,-1.13217,-2.4727,-0.698492
290,-0.349895,-2.36945,-1.24735
291,0.79119,-1.36004,-1.19598
292,0.732915,1.18401,-0.299753
293,0.661015,1.28341,0.288526
294,0.639718,0.48973,0.335643
295,1.08697,1.94187,0.886639
296,1.63765,2.55428,1.41068
297,0.880538,0.783652,1.10126
298,0.559077,1.02077,0.994449
299,0.764378,3.22015,1.69912
300,0.815065,1.13127,1.38803
301,0.779276,0.238953,0.8991
302,1.17582,0.353197,0.649246
303,0.827421,-0.174347,0.314799
304,2.0177,2.59699,1.08719
305,1.58446,1.76097,1.25056
306,0.616907,1.68676,1.31155
307,0.772994,1.35967,1.24421
308,0.573295,0.126148,0.770931
309,0.475836,-0.836004,0.162663
310,-0.103449,0.455292,0.260697
311,0.274018,0.940999,0.474163
312,-0.0622898,1.64626,0.847825
313,0.138919,0.820216,0.790428
314,-0.24929,0.881413,0.758865
315,-1.06799,0.0939378,0.475312
316,-0.341912,-0.862826,-0.0276867
317,-0.980405,0.709232,0.237696
318,-1.00562,-2.50521,-0.754083
319,-0.911196,-0.0427527,-0.449771
320,-0.164471,-0.491308,-0.43822
321,0.476546,0.456527,-0.111068
322,-0.0277081,0.837609,0.226365
323,0.361616,0.125036,0.187787
324,0.538044,0.693471,0.33659
325,0.338837,-0.817913,-0.0828836
326,-0.305206,1.00487,0.298707
327,-0.17802,0.187281,0.243983
328,-1.15718,-3.67222,-1.14154
329,0.0544888,0.427548,-0.520069
330,-0.302492,0.275626,-0.212643
331,-0.489297,-0.401982,-0.270967
332,-0.378753,-2.3479,-0.994639
333,-0.852587,-0.565669,-0.788475
334,-0.512189,-0.572709,-0.662703
335,-1.2516,-1.00973,-0.740651
336,-0.763555,-2.41999,-1.27857
337,-0.115206,-0.677806,-0.994828
338,0.716059,-0.779819,-0.866415
339,0.0290654,-0.740703,-0.76965
340,0.494788,-0.779581,-0.724795
341,0.0789323,0.569569,-0.228006
342,0.30634,-0.126192,-0.178583
343,-0.360706,-2.30469,-0.899284
344,-0.527736,-0.760408,-0.789105
345,-0.28148,-1.27494,-0.903536
346,-1.0197,-0.603463,-0.74098
347,-0.978903,-0.162786,-0.487889
348,-1.75243,-2.14202,-1.03852
